ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento7v2	rendimiento7v2	1590613661601	 	3.3.1
USER	rendimiento7v2	2	START	1590613662636	1590613662636
USER	rendimiento7v2	1	START	1590613662617	1590613662617
USER	rendimiento7v2	3	START	1590613662656	1590613662656
USER	rendimiento7v2	4	START	1590613662676	1590613662676
USER	rendimiento7v2	5	START	1590613662686	1590613662686
USER	rendimiento7v2	6	START	1590613662706	1590613662706
USER	rendimiento7v2	7	START	1590613662726	1590613662726
USER	rendimiento7v2	8	START	1590613662736	1590613662736
USER	rendimiento7v2	9	START	1590613662756	1590613662756
USER	rendimiento7v2	10	START	1590613662776	1590613662776
USER	rendimiento7v2	11	START	1590613662786	1590613662786
USER	rendimiento7v2	12	START	1590613662806	1590613662806
USER	rendimiento7v2	13	START	1590613662826	1590613662826
USER	rendimiento7v2	14	START	1590613662837	1590613662837
USER	rendimiento7v2	15	START	1590613662857	1590613662857
USER	rendimiento7v2	16	START	1590613662877	1590613662877
USER	rendimiento7v2	17	START	1590613662887	1590613662887
USER	rendimiento7v2	18	START	1590613662907	1590613662907
USER	rendimiento7v2	19	START	1590613662927	1590613662927
USER	rendimiento7v2	20	START	1590613662937	1590613662937
USER	rendimiento7v2	21	START	1590613662957	1590613662957
USER	rendimiento7v2	22	START	1590613662977	1590613662977
USER	rendimiento7v2	23	START	1590613662987	1590613662987
USER	rendimiento7v2	24	START	1590613663007	1590613663007
USER	rendimiento7v2	25	START	1590613663027	1590613663027
USER	rendimiento7v2	26	START	1590613663037	1590613663037
USER	rendimiento7v2	27	START	1590613663057	1590613663057
USER	rendimiento7v2	28	START	1590613663077	1590613663077
USER	rendimiento7v2	29	START	1590613663087	1590613663087
USER	rendimiento7v2	30	START	1590613663107	1590613663107
USER	rendimiento7v2	31	START	1590613663127	1590613663127
USER	rendimiento7v2	32	START	1590613663137	1590613663137
USER	rendimiento7v2	33	START	1590613663157	1590613663157
USER	rendimiento7v2	34	START	1590613663177	1590613663177
USER	rendimiento7v2	35	START	1590613663187	1590613663187
USER	rendimiento7v2	36	START	1590613663207	1590613663207
USER	rendimiento7v2	37	START	1590613663227	1590613663227
USER	rendimiento7v2	38	START	1590613663237	1590613663237
USER	rendimiento7v2	39	START	1590613663257	1590613663257
USER	rendimiento7v2	40	START	1590613663277	1590613663277
USER	rendimiento7v2	41	START	1590613663287	1590613663287
USER	rendimiento7v2	42	START	1590613663307	1590613663307
USER	rendimiento7v2	43	START	1590613663327	1590613663327
USER	rendimiento7v2	44	START	1590613663337	1590613663337
USER	rendimiento7v2	45	START	1590613663357	1590613663357
USER	rendimiento7v2	46	START	1590613663377	1590613663377
USER	rendimiento7v2	47	START	1590613663387	1590613663387
USER	rendimiento7v2	48	START	1590613663407	1590613663407
USER	rendimiento7v2	49	START	1590613663427	1590613663427
USER	rendimiento7v2	50	START	1590613663437	1590613663437
USER	rendimiento7v2	51	START	1590613663457	1590613663457
USER	rendimiento7v2	52	START	1590613663477	1590613663477
USER	rendimiento7v2	53	START	1590613663487	1590613663487
USER	rendimiento7v2	54	START	1590613663507	1590613663507
USER	rendimiento7v2	55	START	1590613663527	1590613663527
USER	rendimiento7v2	56	START	1590613663537	1590613663537
USER	rendimiento7v2	57	START	1590613663557	1590613663557
USER	rendimiento7v2	58	START	1590613663577	1590613663577
USER	rendimiento7v2	59	START	1590613663587	1590613663587
USER	rendimiento7v2	60	START	1590613663607	1590613663607
USER	rendimiento7v2	61	START	1590613663627	1590613663627
USER	rendimiento7v2	62	START	1590613663637	1590613663637
USER	rendimiento7v2	63	START	1590613663657	1590613663657
USER	rendimiento7v2	64	START	1590613663677	1590613663677
USER	rendimiento7v2	65	START	1590613663687	1590613663687
USER	rendimiento7v2	66	START	1590613663707	1590613663707
USER	rendimiento7v2	67	START	1590613663727	1590613663727
USER	rendimiento7v2	68	START	1590613663737	1590613663737
USER	rendimiento7v2	69	START	1590613663757	1590613663757
USER	rendimiento7v2	70	START	1590613663777	1590613663777
USER	rendimiento7v2	71	START	1590613663787	1590613663787
USER	rendimiento7v2	72	START	1590613663807	1590613663807
USER	rendimiento7v2	73	START	1590613663827	1590613663827
USER	rendimiento7v2	74	START	1590613663837	1590613663837
USER	rendimiento7v2	75	START	1590613663858	1590613663858
USER	rendimiento7v2	76	START	1590613663878	1590613663878
USER	rendimiento7v2	77	START	1590613663888	1590613663888
USER	rendimiento7v2	78	START	1590613663908	1590613663908
USER	rendimiento7v2	79	START	1590613663928	1590613663928
USER	rendimiento7v2	80	START	1590613663938	1590613663938
USER	rendimiento7v2	81	START	1590613663958	1590613663958
USER	rendimiento7v2	82	START	1590613663978	1590613663978
USER	rendimiento7v2	83	START	1590613663988	1590613663988
USER	rendimiento7v2	84	START	1590613664008	1590613664008
USER	rendimiento7v2	85	START	1590613664028	1590613664028
USER	rendimiento7v2	86	START	1590613664038	1590613664038
USER	rendimiento7v2	87	START	1590613664058	1590613664058
USER	rendimiento7v2	88	START	1590613664078	1590613664078
USER	rendimiento7v2	89	START	1590613664088	1590613664088
USER	rendimiento7v2	90	START	1590613664108	1590613664108
USER	rendimiento7v2	91	START	1590613664128	1590613664128
USER	rendimiento7v2	92	START	1590613664138	1590613664138
USER	rendimiento7v2	93	START	1590613664159	1590613664159
USER	rendimiento7v2	94	START	1590613664179	1590613664179
USER	rendimiento7v2	95	START	1590613664189	1590613664189
USER	rendimiento7v2	96	START	1590613664209	1590613664209
USER	rendimiento7v2	97	START	1590613664229	1590613664229
USER	rendimiento7v2	98	START	1590613664239	1590613664239
USER	rendimiento7v2	99	START	1590613664259	1590613664259
USER	rendimiento7v2	100	START	1590613664279	1590613664279
USER	rendimiento7v2	101	START	1590613664289	1590613664289
USER	rendimiento7v2	102	START	1590613664309	1590613664309
USER	rendimiento7v2	103	START	1590613664329	1590613664329
USER	rendimiento7v2	104	START	1590613664341	1590613664341
USER	rendimiento7v2	105	START	1590613664375	1590613664375
USER	rendimiento7v2	106	START	1590613664376	1590613664376
USER	rendimiento7v2	107	START	1590613664390	1590613664390
USER	rendimiento7v2	108	START	1590613664409	1590613664409
USER	rendimiento7v2	109	START	1590613664429	1590613664429
USER	rendimiento7v2	110	START	1590613664440	1590613664440
REQUEST	44		Home	1590613663339	1590613664442	OK	 
REQUEST	45		Home	1590613663358	1590613664436	OK	 
REQUEST	33		Home	1590613663158	1590613664436	OK	 
REQUEST	40		Home	1590613663278	1590613664436	OK	 
REQUEST	74		Home	1590613663838	1590613664436	OK	 
REQUEST	109		Home	1590613664430	1590613664440	OK	 
REQUEST	82		Home	1590613663979	1590613664436	OK	 
REQUEST	73		Home	1590613663828	1590613664450	OK	 
REQUEST	7		Home	1590613662727	1590613664436	OK	 
REQUEST	59		Home	1590613663588	1590613664436	OK	 
REQUEST	108		Home	1590613664410	1590613664436	OK	 
REQUEST	47		Home	1590613663388	1590613664436	OK	 
REQUEST	6		Home	1590613662707	1590613664436	OK	 
REQUEST	110		Home	1590613664441	1590613664454	OK	 
REQUEST	99		Home	1590613664260	1590613664445	OK	 
REQUEST	19		Home	1590613662928	1590613664439	OK	 
REQUEST	52		Home	1590613663478	1590613664436	OK	 
REQUEST	42		Home	1590613663308	1590613664457	OK	 
USER	rendimiento7v2	111	START	1590613664460	1590613664460
REQUEST	63		Home	1590613663658	1590613664468	OK	 
REQUEST	46		Home	1590613663378	1590613664473	OK	 
REQUEST	65		Home	1590613663688	1590613664473	OK	 
REQUEST	56		Home	1590613663538	1590613664477	OK	 
REQUEST	48		Home	1590613663408	1590613664479	OK	 
USER	rendimiento7v2	112	START	1590613664480	1590613664480
REQUEST	101		Home	1590613664290	1590613664490	OK	 
USER	rendimiento7v2	113	START	1590613664507	1590613664507
USER	rendimiento7v2	114	START	1590613664507	1590613664507
USER	rendimiento7v2	115	START	1590613664528	1590613664528
REQUEST	21		Home	1590613662958	1590613664529	OK	 
REQUEST	37		Home	1590613663228	1590613664529	OK	 
REQUEST	1		Home	1590613662637	1590613664529	OK	 
REQUEST	104		Home	1590613664342	1590613664529	OK	 
REQUEST	2		Home	1590613662637	1590613664529	OK	 
REQUEST	29		Home	1590613663088	1590613664529	OK	 
REQUEST	95		Home	1590613664190	1590613664529	OK	 
REQUEST	3		Home	1590613662657	1590613664530	OK	 
REQUEST	41		Home	1590613663288	1590613664530	OK	 
REQUEST	12		Home	1590613662807	1590613664530	OK	 
REQUEST	97		Home	1590613664230	1590613664532	OK	 
REQUEST	61		Home	1590613663628	1590613664532	OK	 
REQUEST	106		Home	1590613664377	1590613664534	OK	 
REQUEST	53		Home	1590613663488	1590613664535	OK	 
REQUEST	67		Home	1590613663728	1590613664536	OK	 
REQUEST	27		Home	1590613663058	1590613664536	OK	 
REQUEST	69		Home	1590613663758	1590613664537	OK	 
REQUEST	98		Home	1590613664240	1590613664537	OK	 
REQUEST	36		Home	1590613663208	1590613664537	OK	 
REQUEST	85		Home	1590613664029	1590613664537	OK	 
REQUEST	77		Home	1590613663888	1590613664537	OK	 
REQUEST	22		Home	1590613662978	1590613664537	OK	 
REQUEST	9		Home	1590613662757	1590613664537	OK	 
REQUEST	51		Home	1590613663458	1590613664538	OK	 
REQUEST	91		Home	1590613664129	1590613664538	OK	 
REQUEST	87		Home	1590613664059	1590613664538	OK	 
REQUEST	60		Home	1590613663608	1590613664539	OK	 
REQUEST	16		Home	1590613662878	1590613664541	OK	 
REQUEST	35		Home	1590613663188	1590613664542	OK	 
REQUEST	81		Home	1590613663959	1590613664542	OK	 
REQUEST	111		Home	1590613664461	1590613664542	OK	 
REQUEST	92		Home	1590613664139	1590613664543	OK	 
REQUEST	18		Home	1590613662908	1590613664544	OK	 
