ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Rendimiento1	rendimiento1	1590853155503	 	3.3.1
USER	Rendimiento1	3	START	1590853157225	1590853157225
USER	Rendimiento1	5	START	1590853157257	1590853157257
USER	Rendimiento1	4	START	1590853157245	1590853157245
USER	Rendimiento1	2	START	1590853157207	1590853157207
USER	Rendimiento1	1	START	1590853157207	1590853157207
USER	Rendimiento1	6	START	1590853157269	1590853157269
USER	Rendimiento1	7	START	1590853157278	1590853157278
USER	Rendimiento1	8	START	1590853157288	1590853157288
USER	Rendimiento1	9	START	1590853157299	1590853157299
USER	Rendimiento1	10	START	1590853157311	1590853157311
USER	Rendimiento1	11	START	1590853157315	1590853157315
USER	Rendimiento1	12	START	1590853157326	1590853157326
REQUEST	4		HOME	1590853157255	1590853157320	OK	 
REQUEST	3		HOME	1590853157255	1590853157320	OK	 
REQUEST	5		HOME	1590853157259	1590853157318	OK	 
REQUEST	10		HOME	1590853157313	1590853157345	OK	 
REQUEST	1		HOME	1590853157255	1590853157317	OK	 
REQUEST	11		HOME	1590853157317	1590853157338	OK	 
REQUEST	9		HOME	1590853157300	1590853157318	OK	 
REQUEST	7		HOME	1590853157279	1590853157318	OK	 
REQUEST	2		HOME	1590853157255	1590853157317	OK	 
REQUEST	6		HOME	1590853157270	1590853157320	OK	 
REQUEST	8		HOME	1590853157290	1590853157320	OK	 
REQUEST	12		HOME	1590853157333	1590853157355	OK	 
USER	Rendimiento1	13	START	1590853157358	1590853157358
USER	Rendimiento1	14	START	1590853157368	1590853157368
REQUEST	13		HOME	1590853157359	1590853157373	OK	 
USER	Rendimiento1	15	START	1590853157379	1590853157379
REQUEST	14		HOME	1590853157370	1590853157388	OK	 
USER	Rendimiento1	16	START	1590853157389	1590853157389
REQUEST	16		HOME	1590853157393	1590853157402	OK	 
REQUEST	15		HOME	1590853157383	1590853157402	OK	 
USER	Rendimiento1	17	START	1590853157402	1590853157402
USER	Rendimiento1	18	START	1590853157413	1590853157413
USER	Rendimiento1	19	START	1590853157416	1590853157416
USER	Rendimiento1	20	START	1590853157426	1590853157426
USER	Rendimiento1	21	START	1590853157440	1590853157440
REQUEST	17		HOME	1590853157407	1590853157450	OK	 
REQUEST	20		HOME	1590853157432	1590853157449	OK	 
REQUEST	21		HOME	1590853157443	1590853157451	OK	 
REQUEST	18		HOME	1590853157416	1590853157451	OK	 
REQUEST	19		HOME	1590853157416	1590853157451	OK	 
USER	Rendimiento1	22	START	1590853157455	1590853157455
REQUEST	22		HOME	1590853157456	1590853157463	OK	 
USER	Rendimiento1	23	START	1590853157466	1590853157466
