ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
USER	rendimiento09	1	START	1591090548883	1591090548883
USER	rendimiento09	2	START	1591090549018	1591090549018
REQUEST	1		Home	1591090548960	1591090549003	OK	 
REQUEST	2		Home	1591090549019	1591090549053	OK	 
USER	rendimiento09	3	START	1591090549146	1591090549146
REQUEST	3		Home	1591090549148	1591090549170	OK	 
USER	rendimiento09	4	START	1591090549277	1591090549277
REQUEST	4		Home	1591090549278	1591090549290	OK	 
USER	rendimiento09	5	START	1591090549398	1591090549398
REQUEST	5		Home	1591090549399	1591090549410	OK	 
USER	rendimiento09	6	START	1591090549530	1591090549530
REQUEST	6		Home	1591090549532	1591090549551	OK	 
USER	rendimiento09	7	START	1591090549647	1591090549647
REQUEST	7		Home	1591090549650	1591090549670	OK	 
USER	rendimiento09	8	START	1591090549781	1591090549781
REQUEST	8		Home	1591090549782	1591090549794	OK	 
USER	rendimiento09	9	START	1591090549898	1591090549898
REQUEST	9		Home	1591090549900	1591090549913	OK	 
USER	rendimiento09	10	START	1591090550047	1591090550047
REQUEST	10		Home	1591090550050	1591090550063	OK	 
USER	rendimiento09	11	START	1591090550187	1591090550187
REQUEST	11		Home	1591090550188	1591090550194	OK	 
USER	rendimiento09	12	START	1591090550330	1591090550330
REQUEST	12		Home	1591090550333	1591090550346	OK	 
USER	rendimiento09	13	START	1591090550469	1591090550469
REQUEST	13		Home	1591090550471	1591090550490	OK	 
USER	rendimiento09	14	START	1591090550618	1591090550618
REQUEST	14		Home	1591090550621	1591090550631	OK	 
USER	rendimiento09	15	START	1591090550756	1591090550756
REQUEST	15		Home	1591090550757	1591090550763	OK	 
USER	rendimiento09	16	START	1591090550900	1591090550900
REQUEST	16		Home	1591090550902	1591090550914	OK	 
USER	rendimiento09	17	START	1591090551007	1591090551007
REQUEST	17		Home	1591090551009	1591090551020	OK	 
USER	rendimiento09	18	START	1591090551130	1591090551130
REQUEST	18		Home	1591090551132	1591090551144	OK	 
USER	rendimiento09	19	START	1591090551261	1591090551261
REQUEST	19		Home	1591090551262	1591090551268	OK	 
USER	rendimiento09	20	START	1591090551380	1591090551380
REQUEST	20		Home	1591090551383	1591090551394	OK	 
USER	rendimiento09	21	START	1591090551507	1591090551507
REQUEST	21		Home	1591090551509	1591090551521	OK	 
USER	rendimiento09	22	START	1591090551629	1591090551629
REQUEST	22		Home	1591090551631	1591090551642	OK	 
USER	rendimiento09	23	START	1591090551757	1591090551757
REQUEST	23		Home	1591090551757	1591090551762	OK	 
USER	rendimiento09	24	START	1591090551879	1591090551879
REQUEST	24		Home	1591090551882	1591090551893	OK	 
USER	rendimiento09	25	START	1591090552018	1591090552018
REQUEST	25		Home	1591090552020	1591090552031	OK	 
USER	rendimiento09	26	START	1591090552160	1591090552160
REQUEST	26		Home	1591090552162	1591090552174	OK	 
USER	rendimiento09	27	START	1591090552308	1591090552308
REQUEST	27		Home	1591090552308	1591090552314	OK	 
USER	rendimiento09	28	START	1591090552451	1591090552451
REQUEST	28		Home	1591090552455	1591090552467	OK	 
USER	rendimiento09	29	START	1591090552590	1591090552590
REQUEST	29		Home	1591090552592	1591090552602	OK	 
USER	rendimiento09	30	START	1591090552738	1591090552738
REQUEST	30		Home	1591090552740	1591090552755	OK	 
USER	rendimiento09	31	START	1591090552877	1591090552877
REQUEST	31		Home	1591090552878	1591090552882	OK	 
USER	rendimiento09	32	START	1591090553010	1591090553010
REQUEST	32		Home	1591090553013	1591090553031	OK	 
USER	rendimiento09	33	START	1591090553127	1591090553127
REQUEST	33		Home	1591090553129	1591090553139	OK	 
USER	rendimiento09	34	START	1591090553260	1591090553260
REQUEST	34		Home	1591090553262	1591090553272	OK	 
USER	rendimiento09	35	START	1591090553376	1591090553376
REQUEST	35		Home	1591090553377	1591090553383	OK	 
USER	rendimiento09	36	START	1591090553510	1591090553510
REQUEST	36		Home	1591090553512	1591090553524	OK	 
USER	rendimiento09	37	START	1591090553628	1591090553628
