ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento30	rendimiento30	1591122014600	 	3.3.1
USER	rendimiento30	4	START	1591122015828	1591122015828
USER	rendimiento30	5	START	1591122015837	1591122015837
USER	rendimiento30	1	START	1591122015748	1591122015748
USER	rendimiento30	3	START	1591122015783	1591122015783
USER	rendimiento30	2	START	1591122015749	1591122015749
USER	rendimiento30	6	START	1591122015869	1591122015869
USER	rendimiento30	7	START	1591122015889	1591122015889
USER	rendimiento30	8	START	1591122015910	1591122015910
REQUEST	4		Home	1591122015833	1591122015901	OK	 
REQUEST	1		Home	1591122015839	1591122015901	OK	 
REQUEST	8		Home	1591122015911	1591122015959	OK	 
REQUEST	5		Home	1591122015838	1591122015960	OK	 
REQUEST	3		Home	1591122015837	1591122015928	OK	 
REQUEST	2		Home	1591122015841	1591122015902	OK	 
USER	rendimiento30	9	START	1591122015929	1591122015929
USER	rendimiento30	10	START	1591122015961	1591122015961
REQUEST	7		Home	1591122015891	1591122015986	OK	 
USER	rendimiento30	11	START	1591122015979	1591122015979
REQUEST	6		Home	1591122015870	1591122016058	OK	 
USER	rendimiento30	12	START	1591122016092	1591122016092
USER	rendimiento30	14	START	1591122016094	1591122016094
USER	rendimiento30	13	START	1591122016094	1591122016094
USER	rendimiento30	15	START	1591122016097	1591122016097
USER	rendimiento30	16	START	1591122016099	1591122016099
USER	rendimiento30	17	START	1591122016100	1591122016100
USER	rendimiento30	18	START	1591122016118	1591122016118
REQUEST	13		Home	1591122016096	1591122016127	OK	 
REQUEST	12		Home	1591122016093	1591122016127	OK	 
REQUEST	11		Home	1591122015995	1591122016149	OK	 
REQUEST	16		Home	1591122016100	1591122016149	OK	 
REQUEST	10		Home	1591122015961	1591122016149	OK	 
REQUEST	9		Home	1591122015961	1591122016150	OK	 
REQUEST	14		Home	1591122016095	1591122016152	OK	 
REQUEST	15		Home	1591122016098	1591122016152	OK	 
USER	rendimiento30	20	START	1591122016151	1591122016151
REQUEST	17		Home	1591122016101	1591122016161	OK	 
REQUEST	18		Home	1591122016119	1591122016157	OK	 
USER	rendimiento30	19	START	1591122016151	1591122016151
REQUEST	19		Home	1591122016157	1591122016174	OK	 
REQUEST	20		Home	1591122016162	1591122016185	OK	 
USER	rendimiento30	21	START	1591122016203	1591122016203
USER	rendimiento30	22	START	1591122016209	1591122016209
REQUEST	22		Home	1591122016210	1591122016218	OK	 
REQUEST	21		Home	1591122016205	1591122016216	OK	 
USER	rendimiento30	23	START	1591122016226	1591122016226
REQUEST	23		Home	1591122016227	1591122016235	OK	 
USER	rendimiento30	24	START	1591122016243	1591122016243
REQUEST	24		Home	1591122016244	1591122016250	OK	 
USER	rendimiento30	25	START	1591122016248	1591122016248
REQUEST	25		Home	1591122016251	1591122016261	OK	 
USER	rendimiento30	26	START	1591122016268	1591122016268
REQUEST	26		Home	1591122016269	1591122016275	OK	 
USER	rendimiento30	27	START	1591122016291	1591122016291
REQUEST	27		Home	1591122016292	1591122016300	OK	 
USER	rendimiento30	28	START	1591122016311	1591122016311
REQUEST	28		Home	1591122016312	1591122016317	OK	 
USER	rendimiento30	29	START	1591122016332	1591122016332
REQUEST	29		Home	1591122016333	1591122016339	OK	 
USER	rendimiento30	30	START	1591122016354	1591122016354
REQUEST	30		Home	1591122016355	1591122016360	OK	 
USER	rendimiento30	31	START	1591122016371	1591122016371
REQUEST	31		Home	1591122016372	1591122016378	OK	 
USER	rendimiento30	32	START	1591122016391	1591122016391
REQUEST	32		Home	1591122016392	1591122016398	OK	 
USER	rendimiento30	33	START	1591122016407	1591122016407
REQUEST	33		Home	1591122016408	1591122016413	OK	 
USER	rendimiento30	34	START	1591122016428	1591122016428
REQUEST	34		Home	1591122016429	1591122016435	OK	 
USER	rendimiento30	35	START	1591122016448	1591122016448
REQUEST	35		Home	1591122016449	1591122016460	OK	 
USER	rendimiento30	36	START	1591122016468	1591122016468
REQUEST	36		Home	1591122016468	1591122016472	OK	 
USER	rendimiento30	37	START	1591122016488	1591122016488
REQUEST	37		Home	1591122016489	1591122016493	OK	 
USER	rendimiento30	38	START	1591122016508	1591122016508
REQUEST	38		Home	1591122016508	1591122016512	OK	 
USER	rendimiento30	39	START	1591122016528	1591122016528
REQUEST	39		Home	1591122016529	1591122016533	OK	 
USER	rendimiento30	40	START	1591122016548	1591122016548
REQUEST	40		Home	1591122016549	1591122016553	OK	 
USER	rendimiento30	41	START	1591122016569	1591122016569
REQUEST	41		Home	1591122016570	1591122016574	OK	 
USER	rendimiento30	42	START	1591122016589	1591122016589
REQUEST	42		Home	1591122016590	1591122016594	OK	 
USER	rendimiento30	43	START	1591122016610	1591122016610
REQUEST	43		Home	1591122016610	1591122016615	OK	 
USER	rendimiento30	44	START	1591122016631	1591122016631
REQUEST	44		Home	1591122016632	1591122016636	OK	 
USER	rendimiento30	45	START	1591122016651	1591122016651
REQUEST	45		Home	1591122016652	1591122016657	OK	 
USER	rendimiento30	46	START	1591122016672	1591122016672
REQUEST	46		Home	1591122016673	1591122016677	OK	 
USER	rendimiento30	47	START	1591122016687	1591122016687
REQUEST	47		Home	1591122016688	1591122016692	OK	 
USER	rendimiento30	48	START	1591122016707	1591122016707
REQUEST	48		Home	1591122016708	1591122016712	OK	 
USER	rendimiento30	49	START	1591122016728	1591122016728
REQUEST	49		Home	1591122016729	1591122016734	OK	 
USER	rendimiento30	50	START	1591122016748	1591122016748
REQUEST	50		Home	1591122016749	1591122016753	OK	 
USER	rendimiento30	51	START	1591122016768	1591122016768
REQUEST	51		Home	1591122016769	1591122016773	OK	 
USER	rendimiento30	52	START	1591122016788	1591122016788
REQUEST	52		Home	1591122016789	1591122016793	OK	 
USER	rendimiento30	53	START	1591122016808	1591122016808
REQUEST	53		Home	1591122016809	1591122016813	OK	 
USER	rendimiento30	54	START	1591122016828	1591122016828
REQUEST	54		Home	1591122016829	1591122016832	OK	 
USER	rendimiento30	55	START	1591122016848	1591122016848
REQUEST	55		Home	1591122016849	1591122016853	OK	 
USER	rendimiento30	56	START	1591122016869	1591122016869
REQUEST	56		Home	1591122016869	1591122016873	OK	 
USER	rendimiento30	57	START	1591122016889	1591122016889
REQUEST	57		Home	1591122016890	1591122016894	OK	 
USER	rendimiento30	58	START	1591122016910	1591122016910
REQUEST	58		Home	1591122016911	1591122016915	OK	 
USER	rendimiento30	59	START	1591122016930	1591122016930
REQUEST	59		Home	1591122016931	1591122016935	OK	 
USER	rendimiento30	60	START	1591122016951	1591122016951
REQUEST	60		Home	1591122016951	1591122016955	OK	 
USER	rendimiento30	61	START	1591122016972	1591122016972
REQUEST	61		Home	1591122016973	1591122016977	OK	 
USER	rendimiento30	62	START	1591122016989	1591122016989
REQUEST	62		Home	1591122016990	1591122016995	OK	 
USER	rendimiento30	63	START	1591122017009	1591122017009
REQUEST	63		Home	1591122017010	1591122017015	OK	 
USER	rendimiento30	64	START	1591122017030	1591122017030
REQUEST	64		Home	1591122017031	1591122017036	OK	 
USER	rendimiento30	65	START	1591122017050	1591122017050
REQUEST	65		Home	1591122017051	1591122017056	OK	 
USER	rendimiento30	66	START	1591122017071	1591122017071
REQUEST	66		Home	1591122017072	1591122017075	OK	 
USER	rendimiento30	67	START	1591122017091	1591122017091
REQUEST	67		Home	1591122017092	1591122017095	OK	 
USER	rendimiento30	68	START	1591122017111	1591122017111
REQUEST	68		Home	1591122017112	1591122017116	OK	 
USER	rendimiento30	69	START	1591122017132	1591122017132
REQUEST	69		Home	1591122017133	1591122017136	OK	 
USER	rendimiento30	70	START	1591122017152	1591122017152
REQUEST	70		Home	1591122017153	1591122017158	OK	 
USER	rendimiento30	71	START	1591122017170	1591122017170
REQUEST	71		Home	1591122017171	1591122017176	OK	 
USER	rendimiento30	72	START	1591122017190	1591122017190
REQUEST	72		Home	1591122017191	1591122017194	OK	 
USER	rendimiento30	73	START	1591122017211	1591122017211
REQUEST	73		Home	1591122017212	1591122017216	OK	 
USER	rendimiento30	74	START	1591122017231	1591122017231
REQUEST	74		Home	1591122017232	1591122017236	OK	 
USER	rendimiento30	75	START	1591122017247	1591122017247
REQUEST	75		Home	1591122017248	1591122017252	OK	 
USER	rendimiento30	76	START	1591122017267	1591122017267
REQUEST	76		Home	1591122017268	1591122017272	OK	 
USER	rendimiento30	77	START	1591122017288	1591122017288
REQUEST	77		Home	1591122017288	1591122017293	OK	 
USER	rendimiento30	78	START	1591122017309	1591122017309
REQUEST	78		Home	1591122017309	1591122017313	OK	 
USER	rendimiento30	79	START	1591122017329	1591122017329
REQUEST	79		Home	1591122017330	1591122017333	OK	 
USER	rendimiento30	80	START	1591122017350	1591122017350
REQUEST	80		Home	1591122017351	1591122017355	OK	 
USER	rendimiento30	81	START	1591122017371	1591122017371
REQUEST	81		Home	1591122017372	1591122017375	OK	 
USER	rendimiento30	82	START	1591122017387	1591122017387
REQUEST	82		Home	1591122017388	1591122017392	OK	 
USER	rendimiento30	83	START	1591122017408	1591122017408
REQUEST	83		Home	1591122017408	1591122017412	OK	 
USER	rendimiento30	84	START	1591122017429	1591122017429
REQUEST	84		Home	1591122017430	1591122017434	OK	 
USER	rendimiento30	85	START	1591122017450	1591122017450
REQUEST	85		Home	1591122017451	1591122017456	OK	 
USER	rendimiento30	86	START	1591122017470	1591122017470
REQUEST	86		Home	1591122017471	1591122017476	OK	 
USER	rendimiento30	87	START	1591122017490	1591122017490
REQUEST	87		Home	1591122017491	1591122017496	OK	 
USER	rendimiento30	88	START	1591122017510	1591122017510
REQUEST	88		Home	1591122017512	1591122017518	OK	 
USER	rendimiento30	89	START	1591122017530	1591122017530
REQUEST	89		Home	1591122017532	1591122017540	OK	 
USER	rendimiento30	90	START	1591122017551	1591122017551
REQUEST	90		Home	1591122017551	1591122017558	OK	 
USER	rendimiento30	91	START	1591122017570	1591122017570
REQUEST	91		Home	1591122017571	1591122017575	OK	 
USER	rendimiento30	92	START	1591122017590	1591122017590
REQUEST	92		Home	1591122017591	1591122017595	OK	 
USER	rendimiento30	93	START	1591122017610	1591122017610
REQUEST	93		Home	1591122017611	1591122017615	OK	 
USER	rendimiento30	94	START	1591122017630	1591122017630
REQUEST	94		Home	1591122017631	1591122017635	OK	 
USER	rendimiento30	95	START	1591122017650	1591122017650
REQUEST	95		Home	1591122017651	1591122017655	OK	 
USER	rendimiento30	96	START	1591122017670	1591122017670
REQUEST	96		Home	1591122017671	1591122017676	OK	 
USER	rendimiento30	97	START	1591122017690	1591122017690
REQUEST	97		Home	1591122017691	1591122017695	OK	 
USER	rendimiento30	98	START	1591122017710	1591122017710
REQUEST	98		Home	1591122017711	1591122017715	OK	 
USER	rendimiento30	99	START	1591122017730	1591122017730
REQUEST	99		Home	1591122017731	1591122017737	OK	 
USER	rendimiento30	100	START	1591122017750	1591122017750
REQUEST	100		Home	1591122017751	1591122017755	OK	 
USER	rendimiento30	103	START	1591122017761	1591122017761
REQUEST	103		Home	1591122017761	1591122017766	OK	 
USER	rendimiento30	101	START	1591122017770	1591122017770
REQUEST	101		Home	1591122017771	1591122017776	OK	 
USER	rendimiento30	102	START	1591122017791	1591122017791
REQUEST	102		Home	1591122017791	1591122017795	OK	 
USER	rendimiento30	104	START	1591122017801	1591122017801
REQUEST	104		Home	1591122017801	1591122017805	OK	 
USER	rendimiento30	105	START	1591122017821	1591122017821
REQUEST	105		Home	1591122017821	1591122017825	OK	 
USER	rendimiento30	106	START	1591122017841	1591122017841
REQUEST	106		Home	1591122017841	1591122017845	OK	 
USER	rendimiento30	107	START	1591122017861	1591122017861
REQUEST	107		Home	1591122017861	1591122017865	OK	 
USER	rendimiento30	108	START	1591122017881	1591122017881
REQUEST	108		Home	1591122017881	1591122017885	OK	 
USER	rendimiento30	109	START	1591122017901	1591122017901
REQUEST	109		Home	1591122017902	1591122017905	OK	 
USER	rendimiento30	110	START	1591122017921	1591122017921
REQUEST	110		Home	1591122017922	1591122017926	OK	 
USER	rendimiento30	111	START	1591122017941	1591122017941
REQUEST	111		Home	1591122017942	1591122017946	OK	 
USER	rendimiento30	112	START	1591122017961	1591122017961
REQUEST	112		Home	1591122017962	1591122017966	OK	 
USER	rendimiento30	113	START	1591122017981	1591122017981
REQUEST	113		Home	1591122017982	1591122017985	OK	 
USER	rendimiento30	114	START	1591122018001	1591122018001
REQUEST	114		Home	1591122018002	1591122018005	OK	 
USER	rendimiento30	115	START	1591122018021	1591122018021
REQUEST	115		Home	1591122018022	1591122018026	OK	 
USER	rendimiento30	116	START	1591122018041	1591122018041
